step,train_loss,val_loss,elapsed_sec
0,7.013921,7.012053,2.49
100,4.729812,4.852110,23.54
200,4.255003,4.423872,44.60
300,4.087037,4.288682,65.60
400,3.991005,4.220049,87.10
500,3.793558,4.038126,108.62
600,3.562361,3.846696,129.69
700,3.389131,3.720024,150.69
800,3.241809,3.610109,172.39
900,3.132913,3.557839,193.42
1000,3.043992,3.502151,214.62
1100,2.950473,3.476790,235.78
1200,2.877837,3.429382,256.95
1300,2.814427,3.413333,278.35
1400,2.743329,3.421063,298.70
1500,2.685999,3.399427,320.00
1600,2.633039,3.380224,340.92
1700,2.565469,3.387593,362.58
1800,2.525211,3.372132,383.24
1900,2.452436,3.387552,403.67
2000,2.404668,3.378206,424.64
2100,2.352530,3.409247,445.32
2200,2.319771,3.382007,466.17
2300,2.257537,3.403156,487.87
2400,2.204172,3.415559,508.57
2500,2.172271,3.431477,530.25
2600,2.111923,3.426766,551.05
2700,2.077962,3.430949,572.67
2800,2.037304,3.469379,593.77
2900,1.982438,3.457397,614.55
3000,1.937255,3.481192,634.96
3100,1.891528,3.488601,656.00
3200,1.850218,3.501521,677.92
3300,1.825165,3.554525,699.47
3400,1.769999,3.542570,720.63
3500,1.745266,3.564280,742.37
3600,1.698620,3.566715,763.60
3700,1.660195,3.607138,784.79
3800,1.619365,3.606501,805.98
3900,1.600386,3.609088,827.81
4000,1.563057,3.640942,848.89
4100,1.533693,3.666056,870.02
4200,1.494255,3.674588,890.95
4300,1.452951,3.694240,912.43
4400,1.434522,3.692757,933.05
4500,1.402086,3.759218,953.64
4600,1.374068,3.745599,973.92
4700,1.340270,3.773282,994.34
4800,1.302425,3.749599,1015.42
4900,1.286502,3.815617,1036.92
4999,1.258348,3.797841,1057.56
