step,train_loss,val_loss,elapsed_sec
0,4.777417,4.766849,5.14
100,2.447832,2.455768,51.69
200,2.347105,2.365045,98.45
300,2.310772,2.322814,145.36
400,2.096854,2.105627,192.01
500,1.947391,1.979732,238.93
600,1.889180,1.912979,286.22
700,1.772187,1.810402,332.93
800,1.655245,1.698397,379.90
900,1.571449,1.619081,426.96
1000,1.504081,1.562469,474.12
1100,1.463906,1.538045,521.12
1200,1.422028,1.481563,567.85
1300,1.376271,1.458951,614.91
1400,1.344552,1.433759,661.71
1500,1.319711,1.400421,708.85
1600,1.286293,1.372454,755.84
1700,1.265974,1.341989,802.80
1800,1.232010,1.326411,849.74
1900,1.219604,1.313533,896.68
2000,1.200432,1.297181,943.74
2100,1.177550,1.280711,990.51
2200,1.175338,1.268695,1037.33
2300,1.158148,1.252416,1084.51
2400,1.143957,1.249467,1131.81
2500,1.130277,1.228168,1178.96
2600,1.121611,1.213297,1225.86
2700,1.102276,1.214801,1272.57
2800,1.094317,1.208764,1319.55
2900,1.076990,1.201289,1366.40
3000,1.086251,1.203995,1413.44
3100,1.084749,1.189880,1460.30
3200,1.063051,1.184736,1507.16
3300,1.038354,1.177944,1554.18
3400,1.042132,1.180484,1601.20
3500,1.035950,1.170726,1648.23
3600,1.036371,1.168634,1695.18
3700,1.031818,1.164011,1741.98
3800,1.021883,1.168118,1788.93
3900,1.009285,1.159949,1835.88
4000,1.003707,1.155116,1882.49
4100,0.998790,1.160632,1929.60
4200,0.996461,1.148454,1976.55
4300,0.991187,1.148198,2023.66
4400,0.987018,1.155082,2070.60
4500,0.985502,1.155400,2117.37
4600,0.975430,1.149049,2164.37
4700,0.974440,1.143287,2211.31
4800,0.966480,1.140859,2258.30
4900,0.955348,1.138809,2305.34
4999,0.949937,1.137145,2351.95
