step,train_loss,val_loss,elapsed_sec
0,4.438234,4.436306,1.14
100,2.423691,2.452142,7.21
200,2.314201,2.350636,13.24
300,2.223152,2.279069,19.28
400,1.988974,2.091383,25.32
500,1.807339,1.968917,31.35
600,1.688859,1.862089,37.38
700,1.617646,1.801999,43.42
800,1.559891,1.760359,49.49
900,1.506628,1.716398,55.58
1000,1.474960,1.699592,61.61
1100,1.449951,1.676670,67.68
1200,1.438813,1.665936,73.72
1300,1.411004,1.657488,79.76
1400,1.387462,1.641411,85.80
1500,1.374110,1.624963,91.84
1600,1.367858,1.621657,97.88
1700,1.360659,1.626148,103.95
1800,1.346811,1.612010,109.99
1900,1.331395,1.604413,116.02
2000,1.324203,1.598983,122.05
2100,1.320007,1.594065,128.09
2200,1.308703,1.597890,134.13
2300,1.302236,1.585705,140.18
2400,1.295000,1.576053,146.22
2500,1.291024,1.577607,152.26
2600,1.275322,1.567604,158.29
2700,1.277168,1.560192,164.32
2800,1.274711,1.563310,170.36
2900,1.271706,1.570574,176.45
2999,1.269451,1.566842,182.48
