step,train_loss,val_loss,elapsed_sec
0,6.292318,6.286973,2.41
100,3.962068,4.056847,23.47
200,3.726569,3.838077,44.57
300,3.616783,3.738105,65.28
400,3.448067,3.579751,86.05
500,3.107701,3.295685,106.66
600,2.890257,3.096734,127.86
700,2.766441,2.989085,148.84
800,2.658701,2.891970,169.70
900,2.595842,2.859154,190.53
1000,2.541410,2.813228,211.21
1100,2.479075,2.789640,232.11
1200,2.434415,2.757200,253.37
1300,2.381146,2.723176,274.09
1400,2.333438,2.715027,294.98
1500,2.294631,2.694471,315.65
1600,2.274273,2.686544,336.44
1700,2.233091,2.680361,357.69
1800,2.203198,2.665837,378.72
1900,2.181466,2.659891,399.87
2000,2.145020,2.652498,420.58
2100,2.109763,2.658037,441.37
2200,2.090912,2.646345,462.64
2300,2.065715,2.636766,483.84
2400,2.040644,2.643606,504.19
2500,2.014624,2.640007,525.25
2600,1.993832,2.651107,545.77
2700,1.962132,2.620239,566.39
2800,1.938666,2.636732,587.56
2900,1.918170,2.651846,608.44
2999,1.890141,2.631083,629.40
