step,train_loss,val_loss,elapsed_sec
0,4.504866,4.505153,25.32
500,1.582447,1.634135,151.99
1000,1.185589,1.284099,279.28
1500,1.042817,1.195082,405.95
2000,0.959099,1.173440,532.24
2500,0.882604,1.168010,659.01
3000,0.807003,1.185181,785.52
3500,0.734440,1.205904,911.79
4000,0.662313,1.239199,1037.86
4500,0.591344,1.290541,1164.70
5000,0.515545,1.336599,1291.29
5500,0.451176,1.391985,1418.00
6000,0.387033,1.446807,1544.65
6500,0.334606,1.513736,1671.19
7000,0.289762,1.578482,1797.54
7500,0.253251,1.631775,1924.64
8000,0.219305,1.698882,2051.33
8500,0.192557,1.747486,2177.70
9000,0.175282,1.794174,2304.81
9500,0.159718,1.828728,2431.45
9999,0.144461,1.909731,2557.58
