step,train_loss,val_loss,elapsed_sec
0,4.731750,4.733271,1.11
100,2.365935,2.394716,10.55
200,2.340241,2.344693,20.01
300,2.316749,2.334375,29.09
400,2.313045,2.321988,38.11
500,2.302844,2.317328,47.32
600,2.302505,2.316179,56.66
700,2.295284,2.308615,66.11
800,2.285114,2.298232,75.64
900,2.270150,2.273366,85.21
1000,2.067110,2.082054,94.03
1100,1.883617,1.908062,102.99
1200,1.810897,1.852864,112.14
1300,1.720741,1.754749,121.46
1400,1.639059,1.685870,130.81
1500,1.601228,1.643402,140.37
1600,1.552140,1.611598,149.86
1700,1.514953,1.574726,158.91
1800,1.465178,1.537084,167.98
1900,1.442333,1.498128,177.25
2000,1.412907,1.478946,186.64
2100,1.407420,1.465546,196.14
2200,1.380014,1.452977,205.66
2300,1.375394,1.452034,215.24
2400,1.359612,1.419623,224.22
2500,1.346215,1.416818,233.28
2600,1.340514,1.409963,242.39
2700,1.325414,1.400723,251.64
2800,1.320546,1.401433,261.08
2900,1.329993,1.377708,270.58
3000,1.300953,1.384562,280.15
3100,1.298163,1.374256,289.29
3200,1.288937,1.363639,298.29
3300,1.275993,1.366686,307.38
3400,1.290568,1.375603,316.62
3500,1.276979,1.347796,325.99
3600,1.269730,1.351904,335.52
3700,1.267860,1.347491,344.76
3800,1.263470,1.344299,353.65
3900,1.249746,1.347692,362.71
4000,1.247877,1.327505,371.95
4100,1.244726,1.332885,381.35
4200,1.238010,1.333361,390.80
4300,1.246878,1.336620,400.35
4400,1.248352,1.311443,409.90
4500,1.235850,1.319683,418.96
4600,1.242333,1.312382,428.00
4700,1.219809,1.316315,437.14
4800,1.234011,1.311309,446.41
4900,1.223270,1.322758,455.79
5000,1.225495,1.318544,465.25
5100,1.227110,1.311375,474.49
5200,1.216241,1.310109,483.51
5300,1.209540,1.299207,492.61
5400,1.207608,1.296834,501.87
5500,1.205300,1.298363,511.26
5600,1.209895,1.298327,520.76
5700,1.201680,1.293928,530.28
5800,1.204777,1.292528,539.72
5900,1.199006,1.298339,548.89
6000,1.200175,1.286630,557.95
6100,1.187438,1.284927,567.10
6200,1.186914,1.286058,576.37
6300,1.189488,1.295886,585.77
6400,1.190024,1.287869,595.20
6500,1.186771,1.301950,604.48
6600,1.185316,1.282767,613.48
6700,1.180443,1.280721,622.59
6800,1.181672,1.279320,631.87
6900,1.187998,1.282054,641.28
7000,1.185039,1.293943,650.70
7100,1.178478,1.274618,660.29
7200,1.173352,1.273116,669.84
7300,1.173971,1.280341,678.89
7400,1.167565,1.274995,687.98
7500,1.170426,1.253162,697.14
7600,1.170474,1.269497,706.43
7700,1.172029,1.263845,715.82
7800,1.154833,1.258694,725.28
7900,1.160323,1.270113,734.50
8000,1.160509,1.270402,743.48
8100,1.157661,1.263553,752.57
8200,1.154700,1.261613,761.86
8300,1.157516,1.252524,771.28
8400,1.158553,1.259419,780.73
8500,1.158380,1.269829,790.30
8600,1.144835,1.245744,799.95
8700,1.151037,1.253692,809.06
8800,1.158624,1.257987,818.11
8900,1.148279,1.247672,827.23
9000,1.147198,1.264768,836.47
9100,1.144982,1.249968,845.85
9200,1.138157,1.246734,855.29
9300,1.151425,1.254387,864.50
9400,1.155723,1.264382,873.46
9500,1.148660,1.250993,882.56
9600,1.140036,1.241768,891.81
9700,1.129916,1.245279,901.23
9800,1.139622,1.246076,910.71
9900,1.141330,1.251146,920.28
10000,1.137120,1.243762,930.03
10100,1.136277,1.227090,938.94
10200,1.135472,1.232404,947.98
10300,1.134376,1.244399,957.10
10400,1.137286,1.228078,966.38
10500,1.124976,1.234349,975.79
10600,1.126331,1.250161,985.22
10700,1.126432,1.229788,994.52
10800,1.138189,1.253354,1003.49
10900,1.132230,1.233431,1012.57
11000,1.124749,1.237206,1021.84
