step,train_loss,val_loss,elapsed_sec
0,6.327156,6.323153,2.46
100,4.243192,4.346097,23.26
200,3.988843,4.111515,44.23
300,3.880260,4.026408,65.19
400,3.778668,3.929219,86.03
500,3.484509,3.663752,106.64
600,3.215234,3.421262,127.40
700,3.063726,3.308761,148.08
800,2.940559,3.202752,169.22
900,2.837117,3.159399,190.30
1000,2.761471,3.111211,211.34
1100,2.697834,3.075875,231.68
1200,2.641235,3.044028,252.49
1300,2.595965,3.016232,273.28
1400,2.525882,3.009334,294.54
1500,2.480046,3.008864,315.35
1600,2.450810,2.987159,336.01
1700,2.417102,2.950605,356.89
1800,2.376709,2.967688,377.62
1900,2.343333,2.962698,398.04
2000,2.302239,2.950264,419.01
2100,2.252343,2.937028,439.95
2200,2.228133,2.931678,460.31
2300,2.194525,2.933908,481.27
2400,2.163002,2.955617,501.68
2500,2.132162,2.937419,522.18
2600,2.101211,2.962892,542.40
2700,2.070958,2.946017,562.97
2800,2.036891,2.969224,583.95
2900,2.006243,2.944881,604.72
3000,1.979220,2.974806,624.88
3100,1.950979,2.971299,645.96
3200,1.933789,2.999810,666.55
3300,1.887667,2.994815,687.41
3400,1.865503,2.980966,708.16
3500,1.844962,2.974895,729.53
3600,1.831499,3.001391,750.50
3700,1.798991,3.025776,771.46
3800,1.768000,3.034584,792.31
3900,1.747297,3.015176,813.06
4000,1.720119,3.058747,834.59
4100,1.683694,3.033373,855.81
4200,1.669757,3.059613,876.10
4300,1.644577,3.060800,896.47
4400,1.629861,3.050923,917.01
4500,1.599596,3.077145,937.92
4600,1.581968,3.083841,959.29
4700,1.546074,3.108539,979.64
4800,1.547097,3.118905,1000.37
4900,1.510001,3.130889,1021.40
4999,1.488947,3.113218,1041.88
