step,train_loss,val_loss,elapsed_sec
0,6.968004,6.970948,0.14
100,5.835118,5.866090,0.90
200,5.283648,5.352688,1.57
300,4.928166,5.019850,2.24
400,4.737286,4.839757,2.91
500,4.569455,4.687359,3.58
600,4.425430,4.571337,4.26
700,4.348457,4.462674,4.93
800,4.272208,4.413297,5.60
900,4.198510,4.339395,6.27
1000,4.176226,4.317050,6.95
1100,4.132812,4.262222,7.62
1200,4.084605,4.274766,8.29
1300,4.066479,4.214806,8.96
1400,4.042438,4.202273,9.64
1500,4.015542,4.157092,10.31
1600,3.981292,4.145211,10.98
1700,3.965618,4.146161,11.66
1800,3.947282,4.128401,12.34
1900,3.914761,4.100267,13.02
2000,3.910951,4.065587,13.71
2100,3.881807,4.103080,14.38
2200,3.889614,4.063746,15.05
2300,3.853188,4.051524,15.74
2400,3.839251,3.995047,16.41
2500,3.796457,3.955694,17.09
2600,3.772491,3.936486,17.76
2700,3.690292,3.908190,18.45
2800,3.649219,3.882854,19.13
2900,3.649504,3.847768,19.81
3000,3.620323,3.838458,20.48
3100,3.585714,3.782020,21.16
3200,3.551214,3.774177,21.84
3300,3.508078,3.773599,22.52
3400,3.538054,3.761412,23.20
3500,3.499425,3.725568,23.87
3600,3.461580,3.687449,24.55
3700,3.435519,3.684729,25.22
3800,3.417464,3.678403,25.90
3900,3.424784,3.617494,26.58
4000,3.376372,3.632138,27.25
4100,3.390891,3.626614,27.93
4200,3.345399,3.603220,28.61
4300,3.318385,3.583326,29.29
4400,3.315507,3.572764,29.96
4500,3.283414,3.546775,30.64
4600,3.321887,3.572015,31.32
4700,3.273119,3.532400,32.00
4800,3.292917,3.524002,32.68
4900,3.281655,3.522806,33.35
5000,3.231022,3.524074,34.03
5100,3.258799,3.511687,34.71
5200,3.228094,3.473924,35.38
5300,3.193303,3.512140,36.05
5400,3.206979,3.455135,36.73
5500,3.153574,3.483897,37.42
5600,3.150753,3.468541,38.11
5700,3.163616,3.461465,38.79
5800,3.155901,3.491395,39.47
5900,3.142951,3.423380,40.14
6000,3.149777,3.458525,40.82
6100,3.131566,3.394064,41.50
6200,3.107051,3.432987,42.18
6300,3.125619,3.411378,42.86
6400,3.103673,3.444335,43.54
6500,3.087494,3.425624,44.22
6600,3.134845,3.415673,44.90
6700,3.105888,3.420202,45.58
6800,3.063719,3.422346,46.26
6900,3.105366,3.384337,46.94
7000,3.046584,3.392088,47.62
7100,3.054100,3.432211,48.30
7200,3.050993,3.389001,48.98
7300,3.037796,3.366577,49.67
7400,3.013444,3.372467,50.34
7500,3.018544,3.390565,51.03
7600,3.036704,3.375897,51.70
7700,3.016630,3.332249,52.38
7800,2.989811,3.375160,53.06
7900,3.009039,3.353580,53.75
8000,3.006427,3.367038,54.43
8100,2.996240,3.401631,55.11
8200,2.986288,3.341707,55.79
8300,3.009440,3.327559,56.47
8400,2.976939,3.340423,57.14
8500,2.986132,3.343404,57.82
8600,2.952447,3.346149,58.50
8700,2.992743,3.346225,59.18
8800,2.969372,3.332151,59.86
8900,2.976434,3.340847,60.54
9000,2.941016,3.321231,61.22
9100,2.944026,3.319670,61.90
9200,2.929808,3.310681,62.59
9300,2.937134,3.329798,63.27
9400,2.945050,3.326127,63.94
9500,2.928111,3.310872,64.62
9600,2.933177,3.321184,65.30
9700,2.923344,3.334573,65.98
9800,2.900273,3.294387,66.66
9900,2.898925,3.312385,67.34
10000,2.909459,3.318656,68.02
10100,2.893403,3.302549,68.71
10200,2.912098,3.297483,69.39
10300,2.910402,3.291935,70.06
10400,2.893589,3.289977,70.74
10500,2.890134,3.292637,71.42
10600,2.896274,3.287230,72.10
10700,2.887105,3.311394,72.78
10800,2.879356,3.282955,73.46
10900,2.896023,3.305461,74.14
11000,2.872668,3.291831,74.82
11100,2.872033,3.278545,75.50
11200,2.840034,3.272786,76.18
11300,2.833796,3.307056,76.86
11400,2.833047,3.270569,77.54
11500,2.839656,3.244722,78.22
11600,2.846780,3.236549,78.91
11700,2.838238,3.300257,79.59
11800,2.830085,3.293283,80.27
11900,2.846934,3.254533,80.94
12000,2.845063,3.258521,81.63
