step,train_loss,val_loss,elapsed_sec
0,4.682113,4.683167,7.18
100,2.364323,2.371665,62.25
200,2.313777,2.327714,117.79
300,2.278993,2.296922,173.72
400,2.196862,2.208462,229.89
500,1.849158,1.876897,285.74
600,1.637190,1.681784,341.54
700,1.492107,1.541614,397.04
800,1.391250,1.461748,452.41
900,1.327982,1.396024,507.79
1000,1.269175,1.349715,563.25
1100,1.241926,1.307674,619.25
1200,1.198666,1.282141,674.60
1300,1.173313,1.267355,730.48
1400,1.146300,1.235356,786.20
1500,1.127796,1.222123,841.85
1600,1.113457,1.200397,897.18
1700,1.092905,1.201263,952.84
1800,1.076828,1.185602,1008.97
1900,1.064687,1.170416,1064.98
2000,1.056493,1.166918,1120.73
2100,1.043378,1.161081,1176.49
2200,1.031612,1.148544,1232.31
2300,1.023000,1.151058,1288.25
2400,1.018731,1.147474,1343.87
2500,1.009251,1.139965,1399.02
2600,0.991694,1.123871,1454.81
2700,0.986270,1.125975,1510.86
2800,0.982293,1.123777,1566.74
2900,0.972050,1.118217,1622.23
3000,0.969059,1.109897,1677.62
3100,0.961785,1.117836,1733.86
3200,0.951175,1.117791,1789.87
3300,0.948406,1.110636,1845.52
3400,0.936893,1.099387,1901.26
3500,0.936152,1.099273,1956.50
3600,0.926916,1.106181,2011.97
3700,0.919583,1.099498,2068.10
3800,0.911934,1.104378,2124.09
3900,0.909750,1.097353,2180.18
4000,0.896661,1.096853,2236.37
4100,0.894208,1.096996,2291.86
4200,0.889724,1.094326,2348.28
4300,0.885492,1.097492,2404.27
4400,0.876430,1.098930,2460.16
4500,0.875892,1.091452,2515.99
4600,0.865350,1.081430,2571.44
4700,0.865640,1.091459,2627.11
4800,0.857220,1.090804,2683.37
4900,0.848992,1.093435,2739.26
4999,0.841352,1.092314,2794.67
