step,train_loss,val_loss,elapsed_sec
0,7.710743,7.707933,6.12
100,4.759288,4.904883,54.31
200,4.239751,4.447421,102.28
300,4.057101,4.301784,150.65
400,3.937544,4.235065,199.29
500,3.837073,4.179365,247.55
600,3.653487,4.095195,296.02
700,3.430007,3.957039,344.45
800,3.225883,3.846349,392.57
900,3.052631,3.774399,441.08
1000,2.889252,3.728370,489.80
1100,2.758235,3.726551,538.31
1200,2.604942,3.719217,586.76
1300,2.481485,3.748685,635.23
1400,2.354827,3.785523,683.65
1500,2.218178,3.823804,731.80
1600,2.095114,3.828168,780.19
1700,1.975708,3.905800,828.26
1800,1.869582,3.957713,876.32
1900,1.760257,4.005866,924.27
2000,1.647293,4.032834,972.05
2100,1.546239,4.102762,1020.33
2200,1.441231,4.170245,1069.36
2300,1.362919,4.200592,1117.83
2400,1.268781,4.276562,1166.30
2500,1.188036,4.310782,1214.88
2600,1.119755,4.391229,1263.14
2700,1.048803,4.436457,1311.43
2800,0.980262,4.514416,1360.02
2900,0.929288,4.573928,1409.15
3000,0.880989,4.601100,1457.43
3100,0.820802,4.666532,1506.01
3200,0.770852,4.682929,1554.92
3300,0.736210,4.760221,1603.75
3400,0.687771,4.771007,1651.74
3500,0.660204,4.843522,1700.08
3600,0.630252,4.874417,1748.16
3700,0.580285,4.944449,1796.39
3800,0.565517,4.942675,1845.03
3900,0.530720,5.006668,1894.03
4000,0.503445,5.079319,1942.49
4100,0.485792,5.084652,1990.92
4200,0.462317,5.125657,2038.75
4300,0.445219,5.155945,2087.14
4400,0.422700,5.216815,2135.63
4500,0.404698,5.246024,2184.03
4600,0.387155,5.282019,2232.43
4700,0.370456,5.307343,2281.27
4800,0.362529,5.385192,2330.20
4900,0.353282,5.366251,2379.01
4999,0.335978,5.388685,2426.83
