step,train_loss,val_loss,elapsed_sec
0,6.972958,6.969125,0.30
100,5.035615,5.119413,2.72
200,4.468422,4.594490,5.04
300,4.305904,4.454150,7.37
400,4.194995,4.378816,9.70
500,4.161595,4.321414,11.95
600,4.093632,4.285269,14.14
700,4.027518,4.240920,16.40
800,3.975881,4.183815,18.69
900,3.813603,4.064432,21.04
1000,3.711940,3.981225,23.36
1100,3.602560,3.879128,25.69
1200,3.526539,3.809677,28.02
1300,3.445854,3.766818,30.35
1400,3.363504,3.732590,32.68
1500,3.308615,3.661081,35.02
1600,3.268062,3.638183,37.35
1700,3.234536,3.617084,39.62
1800,3.194898,3.594989,41.87
1900,3.153203,3.584548,44.06
2000,3.131235,3.564708,46.34
2100,3.085449,3.539468,48.67
2200,3.056917,3.530445,51.02
2300,3.042032,3.527398,53.35
2400,3.026483,3.481789,55.68
2500,2.992643,3.503648,58.01
2600,2.971502,3.529578,60.34
2700,2.943646,3.507352,62.68
2800,2.922042,3.480424,65.01
2900,2.915654,3.478829,67.36
3000,2.887624,3.485872,69.71
3100,2.869397,3.490970,71.97
3200,2.861703,3.489398,74.21
3300,2.839149,3.498814,76.58
3400,2.817286,3.476812,78.92
3500,2.815496,3.489119,81.28
3600,2.797233,3.453824,83.62
3700,2.782316,3.476339,85.97
3800,2.766410,3.470728,88.31
3900,2.756933,3.485261,90.67
4000,2.720458,3.470395,93.03
4100,2.721823,3.468912,95.39
4200,2.708255,3.459300,97.73
4300,2.703442,3.462632,100.10
4400,2.677890,3.475893,102.42
4500,2.680179,3.493414,104.78
4600,2.665302,3.454153,107.10
4700,2.645463,3.448925,109.23
4800,2.652355,3.493146,111.63
4900,2.638458,3.489365,113.91
4999,2.626988,3.478920,116.24
