step,train_loss,val_loss,elapsed_sec
0,8.373890,8.379375,0.16
100,6.432442,6.517251,1.09
200,6.045856,6.119928,1.93
300,5.712123,5.840411,2.77
400,5.461604,5.584717,3.62
500,5.280493,5.423740,4.47
600,5.151907,5.297769,5.31
700,5.088284,5.204141,6.15
800,5.009315,5.154748,6.99
900,4.932929,5.105410,7.84
1000,4.863754,5.072492,8.68
1100,4.795470,5.002693,9.52
1200,4.757295,4.987342,10.37
1300,4.659802,4.938039,11.21
1400,4.683454,4.900050,12.06
1500,4.583932,4.851898,12.90
1600,4.565375,4.844938,13.75
1700,4.532398,4.818843,14.59
1800,4.481719,4.762590,15.44
1900,4.457197,4.761862,16.28
2000,4.432076,4.708853,17.13
2100,4.382405,4.674726,17.97
2200,4.378613,4.650309,18.82
2300,4.344542,4.632976,19.66
2400,4.294485,4.604907,20.51
2500,4.263428,4.600627,21.36
2600,4.275706,4.588609,22.20
2700,4.240890,4.521261,23.04
2800,4.184505,4.520481,23.89
2900,4.183882,4.515393,24.74
3000,4.153796,4.484187,25.58
3100,4.092298,4.446376,26.43
3200,4.085460,4.471601,27.27
3300,4.073096,4.484857,28.12
3400,4.045714,4.481901,28.96
3500,4.047955,4.380019,29.81
3600,4.016945,4.373295,30.66
3700,3.990708,4.358130,31.50
3800,3.985228,4.386196,32.35
3900,3.938467,4.386565,33.20
4000,3.921865,4.335586,34.05
4100,3.896260,4.328960,34.89
4200,3.901933,4.348799,35.74
4300,3.881809,4.324507,36.59
4400,3.850627,4.300022,37.44
4500,3.835069,4.300162,38.29
4600,3.815808,4.289979,39.14
4700,3.811983,4.295168,39.99
4800,3.807670,4.285159,40.84
4900,3.753654,4.315919,41.69
4999,3.807384,4.249732,42.53
