step,train_loss,val_loss,elapsed_sec
0,6.998635,7.001340,0.50
100,5.136023,5.221138,4.90
200,4.501201,4.632420,9.17
300,4.311080,4.478921,13.14
400,4.227232,4.388061,17.14
500,4.150887,4.318519,21.37
600,4.078099,4.271761,25.73
700,4.009879,4.203254,30.04
800,3.932977,4.146888,34.35
900,3.783627,4.029455,38.32
1000,3.672832,3.932634,42.32
1100,3.564707,3.823722,46.49
1200,3.462075,3.747913,50.83
1300,3.391840,3.698288,55.16
1400,3.330154,3.638582,59.47
1500,3.240162,3.590429,63.66
1600,3.199422,3.547994,67.75
1700,3.155303,3.539656,71.95
1800,3.102010,3.512392,76.18
1900,3.069362,3.501698,80.53
2000,3.049248,3.473553,84.87
2100,3.023522,3.460430,89.13
2200,2.991533,3.443960,93.13
2300,2.937281,3.431936,97.12
2400,2.924334,3.429039,101.32
2500,2.898229,3.432482,105.69
2600,2.878832,3.413611,110.05
2700,2.847806,3.414697,114.40
2800,2.831002,3.407614,118.39
2900,2.817717,3.384883,122.39
3000,2.793998,3.387793,126.52
3100,2.778556,3.379622,130.87
3200,2.747930,3.400687,135.22
3300,2.723229,3.388308,139.58
3400,2.722676,3.386152,143.81
3500,2.686288,3.366759,147.89
3600,2.672627,3.381724,152.04
3700,2.668423,3.373535,156.25
3800,2.658998,3.368752,160.61
3900,2.638700,3.385176,164.95
4000,2.614090,3.368046,169.27
4100,2.599150,3.378714,173.25
4200,2.573015,3.363981,177.20
4300,2.560132,3.385651,181.39
4400,2.550700,3.348861,185.77
4500,2.542595,3.391191,190.13
4600,2.517330,3.350226,194.48
4700,2.496049,3.377069,198.75
4800,2.475142,3.369262,202.78
4900,2.484262,3.399256,206.91
4999,2.461373,3.359277,211.15
