step,train_loss,val_loss,elapsed_sec
0,6.968004,6.970948,0.14
100,5.835118,5.866090,0.91
200,5.283648,5.352688,1.58
300,4.928166,5.019850,2.25
400,4.737286,4.839757,2.93
500,4.569455,4.687359,3.60
600,4.425430,4.571337,4.28
700,4.348457,4.462674,4.96
800,4.272208,4.413297,5.63
900,4.198510,4.339395,6.31
1000,4.176226,4.317050,6.99
1100,4.132812,4.262222,7.66
1200,4.084605,4.274766,8.33
1300,4.066479,4.214806,9.01
1400,4.042438,4.202273,9.68
1500,4.015542,4.157092,10.36
1600,3.981292,4.145211,11.04
1700,3.965618,4.146161,11.71
1800,3.947282,4.128401,12.41
1900,3.914761,4.100267,13.09
2000,3.910951,4.065587,13.77
2100,3.881807,4.103080,14.45
2200,3.889614,4.063746,15.16
2300,3.853188,4.051524,15.84
2400,3.839251,3.995047,16.53
2500,3.796457,3.955694,17.21
2600,3.772491,3.936486,17.88
2700,3.690292,3.908190,18.56
2800,3.649219,3.882854,19.25
2900,3.649504,3.847768,19.92
3000,3.620323,3.838458,20.60
3100,3.585714,3.782020,21.28
3200,3.551214,3.774177,21.96
3300,3.508078,3.773599,22.65
3400,3.538054,3.761412,23.33
3500,3.499425,3.725568,24.01
3600,3.461580,3.687449,24.69
3700,3.435519,3.684729,25.37
3800,3.417464,3.678403,26.05
3900,3.424784,3.617494,26.73
4000,3.376372,3.632138,27.41
4100,3.390891,3.626614,28.09
4200,3.345399,3.603220,28.77
4300,3.318385,3.583326,29.45
4400,3.315507,3.572764,30.13
4500,3.283414,3.546775,30.82
4600,3.321887,3.572015,31.50
4700,3.273119,3.532400,32.18
4800,3.292917,3.524002,32.86
4900,3.281655,3.522806,33.54
4999,3.224770,3.513433,34.23
