step,train_loss,val_loss,elapsed_sec
0,6.292761,6.288265,1.23
100,4.075676,4.167358,12.11
200,3.789963,3.906561,22.91
300,3.685909,3.820321,33.70
400,3.634379,3.748928,44.65
500,3.531131,3.664815,55.53
600,3.279435,3.452432,66.31
700,3.087771,3.258775,76.78
800,2.953656,3.140782,87.58
900,2.847739,3.067952,97.84
1000,2.762332,2.989999,108.60
1100,2.731138,2.949141,119.59
1200,2.637273,2.892080,130.61
1300,2.601473,2.858212,142.09
1400,2.557978,2.838924,152.99
1500,2.525004,2.818041,164.14
1600,2.486440,2.804336,175.03
1700,2.460396,2.778929,186.16
1800,2.436882,2.760597,196.75
1900,2.396882,2.743349,207.76
2000,2.382427,2.724635,218.64
2100,2.358519,2.741430,229.87
2200,2.338601,2.683694,240.98
2300,2.319336,2.693345,251.68
2400,2.285994,2.703320,262.19
2500,2.276074,2.691162,272.98
2600,2.250921,2.660587,284.13
2700,2.228956,2.666185,295.40
2800,2.203460,2.685646,306.31
2900,2.195503,2.660082,316.89
2999,2.169423,2.662113,327.43
