step,train_loss,val_loss,elapsed_sec
0,8.398439,8.395956,2.64
100,5.280756,5.398797,25.08
200,4.751952,4.952283,47.71
300,4.442230,4.735901,70.27
400,4.237647,4.571449,93.05
500,4.075954,4.466677,115.50
600,3.907073,4.377287,138.38
700,3.731797,4.272584,160.84
800,3.589114,4.205228,183.72
900,3.443184,4.165484,205.86
1000,3.311355,4.133388,228.51
1100,3.181170,4.131054,250.68
1200,3.056381,4.110661,273.51
1300,2.936581,4.108130,295.93
1400,2.822458,4.096475,318.80
1500,2.726031,4.133307,341.40
1600,2.605981,4.166066,364.14
1700,2.503812,4.181067,387.38
1800,2.398962,4.225015,409.91
1900,2.289685,4.267772,432.79
2000,2.188825,4.304921,455.26
2100,2.088513,4.332009,478.40
2200,1.971374,4.397328,500.98
2300,1.901804,4.463507,523.96
2400,1.782345,4.475063,547.08
2500,1.688913,4.534312,569.60
2600,1.618500,4.580401,591.77
2700,1.550293,4.656402,613.56
2800,1.458500,4.700720,635.44
2900,1.386430,4.748022,657.75
3000,1.316936,4.796800,679.70
3100,1.237304,4.838526,701.80
3200,1.172065,4.887164,723.63
3300,1.113807,4.958270,745.70
3400,1.062106,4.993438,767.68
3500,1.002949,5.066874,789.94
3600,0.957744,5.105721,812.44
3700,0.922216,5.171078,834.37
3800,0.858763,5.193395,856.89
3900,0.817519,5.238294,880.20
4000,0.784223,5.314038,902.83
4100,0.745320,5.375468,924.90
4200,0.722785,5.365493,946.85
4300,0.695497,5.399722,969.02
4400,0.648633,5.552255,992.27
4500,0.624861,5.501542,1014.79
4600,0.591163,5.567429,1036.83
4700,0.570553,5.589369,1058.71
4800,0.551684,5.654159,1081.01
4900,0.530516,5.698491,1103.43
4999,0.508780,5.723225,1126.00
