step,train_loss,val_loss,elapsed_sec
0,6.998635,7.001340,0.50
100,5.918379,5.955771,4.90
200,5.125163,5.205023,9.03
300,4.782078,4.898416,13.09
400,4.593849,4.710731,17.39
500,4.466585,4.598135,21.77
600,4.362744,4.523055,26.09
700,4.295696,4.445605,30.45
800,4.245010,4.404090,34.64
900,4.191209,4.360684,38.71
1000,4.159600,4.332045,42.89
1100,4.125901,4.292730,47.22
1200,4.078334,4.259522,51.62
1300,4.049812,4.243817,55.99
1400,4.003390,4.196179,60.35
1500,3.937766,4.154390,64.39
1600,3.888776,4.102491,68.47
1700,3.829748,4.076031,72.68
1800,3.760587,4.029197,77.06
1900,3.690432,3.971919,81.44
2000,3.631407,3.910652,85.82
2100,3.564145,3.854010,90.07
2200,3.493790,3.805890,94.15
2300,3.418338,3.759298,98.25
2400,3.377654,3.730509,102.49
2500,3.325333,3.702846,106.83
2600,3.282785,3.659576,111.21
2700,3.236040,3.643594,115.61
2800,3.196337,3.605326,119.86
2900,3.168602,3.577436,123.97
3000,3.126257,3.569093,128.13
3100,3.106458,3.551447,132.38
3200,3.053565,3.550430,136.75
3300,3.011876,3.535437,141.13
3400,3.002679,3.517706,145.52
3500,2.954543,3.493129,149.80
3600,2.927703,3.509796,153.91
3700,2.915864,3.490644,158.08
3800,2.890761,3.478296,162.34
3900,2.865534,3.491069,166.72
4000,2.824984,3.467864,171.12
4100,2.805660,3.484006,175.52
4200,2.764630,3.464157,179.82
4300,2.738633,3.486290,184.06
4400,2.723649,3.456797,188.32
4500,2.700697,3.493812,192.62
4600,2.672295,3.459984,197.08
4700,2.641236,3.479253,201.49
4800,2.611422,3.467913,205.89
4900,2.603395,3.497770,210.26
4999,2.581509,3.459870,214.30
