step,train_loss,val_loss,elapsed_sec
0,6.260838,6.261909,4.41
500,3.683053,3.788267,24.88
1000,3.086691,3.296294,45.21
1500,2.763121,3.046695,65.58
2000,2.595067,2.952403,85.95
2500,2.486217,2.901597,106.35
3000,2.393101,2.863789,126.75
3500,2.320621,2.857264,147.13
4000,2.261912,2.843961,167.47
4500,2.199279,2.842986,187.77
5000,2.149469,2.840462,207.95
5500,2.103913,2.838721,228.53
6000,2.058099,2.838129,249.34
6500,2.022553,2.850605,269.90
7000,1.986316,2.845449,290.47
7500,1.959984,2.854729,311.05
8000,1.926643,2.866617,331.54
8500,1.899916,2.870250,352.04
9000,1.874138,2.872107,372.42
9500,1.862550,2.882326,392.69
9999,1.836662,2.883449,412.83
