step,train_loss,val_loss,elapsed_sec
0,6.971698,6.974237,1.13
100,4.873009,4.972127,10.83
200,4.395372,4.542999,20.38
300,4.249899,4.407366,30.03
400,4.173261,4.343121,39.72
500,4.125674,4.314879,49.43
600,4.077952,4.272059,59.17
700,4.036383,4.242831,68.83
800,4.007686,4.235623,77.90
900,3.985302,4.206773,87.11
1000,3.949476,4.213870,96.50
1100,3.930394,4.194086,105.98
1200,3.898028,4.193019,115.58
1300,3.882030,4.169198,125.25
1400,3.825523,4.160767,135.04
1500,3.745813,4.126765,145.08
1600,3.687553,4.056808,154.88
1700,3.632163,4.029499,164.71
1800,3.570202,4.011899,174.57
1900,3.531707,3.965652,184.44
2000,3.464591,3.938326,194.35
2100,3.406027,3.912611,204.29
2200,3.357983,3.898080,214.24
2300,3.295357,3.881479,224.20
2400,3.268807,3.860097,234.17
2500,3.235954,3.861721,244.09
2600,3.200757,3.849963,253.54
2700,3.158617,3.846027,262.69
2800,3.135329,3.786884,271.97
2900,3.090348,3.813882,281.42
3000,3.073398,3.794240,291.07
3100,3.026713,3.766476,300.81
3200,3.016789,3.770161,310.43
3300,2.991436,3.788902,320.19
3400,2.960515,3.727414,329.93
3500,2.933033,3.736855,339.67
3600,2.883981,3.733586,349.42
3700,2.874563,3.701663,359.20
3800,2.853802,3.731349,369.12
3900,2.824064,3.724116,378.98
4000,2.802386,3.675243,388.88
4100,2.799012,3.707967,398.61
4200,2.767500,3.691202,407.78
4300,2.749002,3.694273,417.16
4400,2.728446,3.706316,426.72
4500,2.707759,3.710382,436.26
4600,2.683480,3.672864,445.95
4700,2.684336,3.705949,455.92
4800,2.652852,3.670020,465.75
4900,2.621385,3.659750,475.73
4999,2.601539,3.708492,485.48
