step,train_loss,val_loss,elapsed_sec
0,6.998635,7.001340,0.51
100,5.041595,5.134592,4.92
200,4.466552,4.599414,9.26
300,4.285944,4.454068,13.63
400,4.196798,4.359483,17.99
500,4.109234,4.286996,22.34
600,4.020690,4.227349,26.69
700,3.917627,4.139570,30.85
800,3.753145,4.002857,34.90
900,3.595774,3.880033,39.15
1000,3.474862,3.774377,43.46
1100,3.366361,3.677596,47.81
1200,3.274642,3.617215,52.16
1300,3.208216,3.584122,56.45
1400,3.145473,3.533967,60.49
1500,3.060360,3.505442,64.58
1600,3.015708,3.473078,68.91
1700,2.971632,3.473639,73.29
1800,2.908998,3.449600,77.64
1900,2.873321,3.449937,82.00
2000,2.846963,3.434432,86.20
2100,2.816105,3.425153,90.38
2200,2.777428,3.420282,94.55
2300,2.713863,3.417957,98.84
2400,2.692508,3.418346,103.24
2500,2.662115,3.424374,107.59
2600,2.634557,3.422321,111.96
2700,2.603146,3.430793,116.11
2800,2.567343,3.421318,120.24
2900,2.544549,3.410253,124.41
3000,2.517746,3.434129,128.75
3100,2.494872,3.441667,133.14
3200,2.454639,3.463649,137.52
3300,2.422025,3.461383,141.88
3400,2.418135,3.466006,145.92
3500,2.367967,3.449253,149.98
3600,2.350946,3.490083,154.22
3700,2.329720,3.480396,158.58
3800,2.305253,3.484405,162.95
3900,2.283301,3.516054,167.33
4000,2.253716,3.501428,171.59
4100,2.232717,3.520681,175.66
4200,2.187770,3.521934,179.76
4300,2.170187,3.546261,184.02
4400,2.155510,3.519282,188.37
4500,2.141089,3.580759,192.75
4600,2.097171,3.539261,197.12
4700,2.077732,3.584161,201.41
4800,2.055383,3.562768,205.47
4900,2.049506,3.625682,209.61
4999,2.011834,3.577987,213.84
