step,train_loss,val_loss,elapsed_sec
0,7.727241,7.726243,2.55
100,5.039836,5.152071,24.05
200,4.431065,4.609015,45.62
300,4.170434,4.394829,67.26
400,4.039431,4.280374,88.73
500,3.913625,4.191714,110.03
600,3.738285,4.063778,131.35
700,3.552980,3.909214,154.38
800,3.404272,3.821378,176.01
900,3.264777,3.741509,198.01
1000,3.166339,3.695176,219.68
1100,3.057877,3.656598,241.02
1200,2.973279,3.620905,262.83
1300,2.889001,3.600720,284.35
1400,2.805984,3.598238,305.75
1500,2.734977,3.597486,327.65
1600,2.659438,3.592632,349.31
1700,2.581093,3.590102,370.46
1800,2.515169,3.591973,391.91
1900,2.443717,3.602044,412.79
2000,2.379397,3.591932,433.66
2100,2.315231,3.633586,455.04
2200,2.256901,3.638182,477.53
2300,2.196520,3.678129,499.35
2400,2.130049,3.673426,520.52
2500,2.071689,3.710410,542.07
2600,2.001949,3.731082,564.07
2700,1.935937,3.753437,585.35
2800,1.892545,3.780516,606.73
2900,1.838039,3.810832,627.66
3000,1.773578,3.836787,648.47
3100,1.726804,3.847620,670.12
3200,1.674611,3.896322,692.42
3300,1.605967,3.914564,713.95
3400,1.576785,3.942806,735.57
3500,1.521533,3.985451,757.67
3600,1.474566,4.002346,778.67
3700,1.430117,4.029428,799.67
3800,1.381658,4.037996,820.69
3900,1.352286,4.078927,842.80
4000,1.290910,4.082624,864.52
4100,1.254899,4.113534,886.28
4200,1.215475,4.171841,908.43
4300,1.192282,4.190554,929.89
4400,1.159105,4.223340,951.25
4500,1.128917,4.219100,973.12
4600,1.072270,4.274786,994.52
4700,1.052772,4.289920,1015.77
4800,1.030395,4.311584,1037.25
4900,0.993881,4.364026,1058.18
4999,0.967455,4.351161,1080.22
