step,train_loss,val_loss,elapsed_sec
0,8.432775,8.426432,1.63
100,5.394718,5.484734,16.40
200,4.871723,5.034785,31.93
300,4.614131,4.866980,47.60
400,4.435005,4.730961,63.08
500,4.290091,4.617651,78.28
600,4.183554,4.560663,93.44
700,4.122395,4.490976,108.79
800,4.061015,4.494247,124.13
900,3.968004,4.460674,139.34
1000,3.895049,4.465040,154.75
1100,3.786437,4.400990,170.05
1200,3.711060,4.376719,185.38
1300,3.602934,4.346055,200.67
1400,3.509740,4.283705,215.94
1500,3.380517,4.274761,231.10
1600,3.321084,4.231793,246.25
1700,3.224593,4.209569,261.42
1800,3.123107,4.233670,276.98
1900,3.052486,4.209988,292.44
2000,2.915349,4.241652,308.08
2100,2.850305,4.248310,322.69
2200,2.744842,4.259642,337.79
2300,2.665148,4.290673,352.41
2400,2.581839,4.296356,367.13
2500,2.510540,4.325721,381.80
2600,2.382262,4.357152,396.52
2700,2.361415,4.363512,411.55
2800,2.258549,4.432687,426.56
2900,2.157219,4.490358,442.34
3000,2.092804,4.477565,457.85
3100,1.968535,4.510088,472.76
3200,1.925867,4.592470,488.04
3300,1.874852,4.656371,502.58
3400,1.763041,4.637490,517.86
3500,1.696651,4.657174,532.64
3600,1.647214,4.688469,547.23
3700,1.583637,4.730599,561.86
3800,1.523537,4.780152,577.00
3900,1.474848,4.921968,592.47
4000,1.387069,4.897189,607.09
4100,1.335319,4.929631,622.17
4200,1.295555,5.042476,637.80
4300,1.245571,5.078084,653.16
4400,1.156398,5.076520,668.44
4500,1.129964,5.144171,683.00
4600,1.091081,5.172929,697.80
4700,1.050604,5.292704,713.32
4800,1.025370,5.251801,727.88
4900,0.963367,5.232851,742.53
4999,0.928812,5.367735,757.20
