step,train_loss,val_loss,elapsed_sec
0,7.735616,7.736221,2.18
100,5.051080,5.150823,20.46
200,4.442959,4.614012,37.97
300,4.200898,4.406427,56.07
400,4.047439,4.306912,74.43
500,3.927058,4.216380,92.32
600,3.773436,4.102969,110.57
700,3.614172,3.981209,129.04
800,3.470765,3.863803,147.05
900,3.348351,3.802279,165.52
1000,3.257315,3.735852,183.86
1100,3.167016,3.708748,202.18
1200,3.085629,3.664766,220.93
1300,3.008089,3.649163,239.71
1400,2.944967,3.632048,257.79
1500,2.864148,3.626312,275.82
1600,2.813328,3.627469,294.07
1700,2.757211,3.608606,311.95
1800,2.691675,3.589086,330.43
1900,2.643539,3.600197,348.63
2000,2.592171,3.615282,366.47
2100,2.537324,3.599419,385.11
2200,2.490910,3.629727,402.98
2300,2.430589,3.610582,421.57
2400,2.381325,3.649774,440.18
2500,2.342985,3.673573,457.92
2600,2.288244,3.669822,476.48
2700,2.244564,3.671665,495.04
2800,2.204958,3.684139,512.92
2900,2.161747,3.721797,531.24
3000,2.107440,3.720399,549.21
3100,2.076964,3.704284,567.01
3200,2.033027,3.754512,585.13
3300,1.980471,3.784782,603.02
3400,1.953378,3.784480,621.63
3500,1.910851,3.787637,639.99
3600,1.886261,3.819936,657.84
3700,1.838552,3.823776,676.28
3800,1.794126,3.845512,694.77
3900,1.772159,3.872901,712.85
4000,1.741379,3.892088,731.02
4100,1.703212,3.901675,748.71
4200,1.669086,3.937656,766.59
4300,1.619183,3.936960,785.00
4400,1.603629,3.954737,802.86
4500,1.583353,3.984504,820.77
4600,1.552168,3.980684,839.67
4700,1.509867,4.018872,857.78
4800,1.482779,4.027742,876.28
4900,1.465592,4.045022,895.01
4999,1.444937,4.070818,912.63
