step,train_loss,val_loss,elapsed_sec
0,6.998635,7.001340,0.50
100,5.008391,5.105565,4.91
200,4.453446,4.587785,9.21
300,4.273667,4.443922,13.49
400,4.180014,4.348152,17.65
500,4.083932,4.270434,21.96
600,3.979350,4.200439,26.23
700,3.843140,4.085921,30.65
800,3.659791,3.936309,35.06
900,3.500899,3.812203,39.46
1000,3.382830,3.718971,43.71
1100,3.274757,3.635863,47.86
1200,3.179706,3.582488,52.09
1300,3.109468,3.552805,56.33
1400,3.053734,3.525302,60.68
1500,2.955574,3.497301,65.09
1600,2.907043,3.470125,69.50
1700,2.852427,3.481642,73.76
1800,2.785738,3.461121,77.88
1900,2.742812,3.473276,82.11
2000,2.702117,3.465000,86.26
2100,2.661387,3.470544,90.59
2200,2.617292,3.488994,94.95
2300,2.550467,3.483162,99.38
2400,2.515560,3.498105,103.66
2500,2.472498,3.522402,107.81
2600,2.425065,3.527607,112.09
2700,2.385396,3.542834,116.34
2800,2.347052,3.554792,120.66
2900,2.317162,3.555724,125.04
3000,2.272685,3.593338,129.47
3100,2.240941,3.603605,133.69
3200,2.198178,3.653727,137.87
3300,2.151285,3.653198,141.95
3400,2.133599,3.669897,146.09
3500,2.071723,3.656424,150.45
3600,2.053488,3.711556,154.82
3700,2.016326,3.725865,159.19
3800,1.988283,3.738292,163.47
3900,1.956679,3.778875,167.54
4000,1.907835,3.784706,171.69
4100,1.884422,3.811579,175.91
4200,1.826930,3.828682,180.29
4300,1.804049,3.874521,184.66
4400,1.788158,3.856980,188.99
4500,1.769724,3.921841,193.02
4600,1.713006,3.902826,196.98
4700,1.686823,3.949373,201.17
4800,1.651612,3.945266,205.53
4900,1.635362,4.019594,209.91
4999,1.586624,3.991438,214.25
