step,train_loss,val_loss,elapsed_sec
0,7.700700,7.696513,8.24
100,4.780919,4.918634,78.96
200,4.221964,4.439198,150.47
300,4.040755,4.312219,221.93
400,3.909381,4.234494,293.15
500,3.804943,4.181407,364.49
600,3.667772,4.108235,435.98
700,3.447074,3.977394,506.79
800,3.241892,3.872124,578.33
900,3.072383,3.800054,650.35
1000,2.914374,3.737092,721.21
1100,2.768333,3.721243,792.92
1200,2.622972,3.724368,863.80
1300,2.492685,3.731384,934.97
1400,2.357797,3.759782,1006.63
1500,2.249935,3.777569,1077.51
1600,2.123581,3.823737,1148.83
1700,2.005370,3.875859,1220.76
1800,1.882613,3.904504,1292.41
1900,1.776279,3.957872,1363.88
2000,1.664862,4.038653,1435.00
2100,1.561635,4.075703,1506.54
2200,1.467425,4.133704,1578.03
2300,1.381101,4.197960,1649.22
2400,1.287572,4.236793,1720.92
2500,1.201778,4.315780,1792.39
2600,1.129951,4.343912,1863.51
2700,1.059125,4.375395,1935.54
2800,0.988223,4.460507,2007.30
2900,0.933610,4.505216,2078.57
3000,0.860032,4.570255,2150.56
3100,0.819827,4.624273,2221.81
3200,0.761315,4.679681,2293.24
3300,0.724804,4.720950,2365.17
3400,0.677542,4.769736,2436.91
3500,0.650237,4.829549,2508.30
3600,0.595148,4.867534,2580.13
3700,0.575933,4.936493,2651.57
3800,0.539557,4.954144,2722.75
3900,0.525190,4.999290,2794.72
4000,0.494117,5.058043,2866.65
4100,0.465965,5.082402,2938.14
4200,0.450888,5.143196,3010.21
4300,0.429064,5.159608,3082.21
4400,0.404531,5.256864,3153.55
4500,0.388345,5.232163,3225.35
4600,0.373877,5.297415,3296.87
4700,0.356066,5.336601,3367.79
4800,0.339666,5.310113,3439.35
4900,0.327811,5.373988,3510.73
4999,0.320900,5.452914,3581.13
