step,train_loss,val_loss,elapsed_sec
0,8.405100,8.402246,3.01
100,5.200850,5.326571,27.73
200,4.699227,4.918865,52.44
300,4.402795,4.694683,77.42
400,4.236809,4.579913,102.38
500,4.117944,4.512042,127.19
600,4.006526,4.461473,152.12
700,3.889449,4.423626,177.39
800,3.741916,4.400771,202.17
900,3.607265,4.312323,227.25
1000,3.431179,4.265634,252.21
1100,3.307660,4.248570,277.11
1200,3.161370,4.219359,302.25
1300,3.011591,4.213580,327.28
1400,2.876515,4.205028,352.25
1500,2.747548,4.237669,377.17
1600,2.605095,4.296092,402.03
1700,2.470846,4.348281,427.02
1800,2.349274,4.359292,452.22
1900,2.212416,4.431544,476.72
2000,2.113338,4.510501,501.85
2100,1.981962,4.524651,526.84
2200,1.859721,4.590915,551.72
2300,1.757365,4.648013,576.74
2400,1.651527,4.721898,601.13
2500,1.542240,4.759132,625.97
2600,1.448491,4.861448,650.96
2700,1.368040,4.886089,676.32
2800,1.280178,4.977469,701.64
2900,1.204593,5.110745,726.84
3000,1.123024,5.142375,752.08
3100,1.058962,5.198436,777.23
3200,0.995411,5.229363,802.53
3300,0.939552,5.313735,827.80
3400,0.887444,5.368828,853.13
3500,0.820504,5.410122,877.41
3600,0.784520,5.489636,901.66
3700,0.724442,5.512919,926.81
3800,0.683523,5.590760,952.10
3900,0.663260,5.612470,976.49
4000,0.613996,5.733633,1001.86
4100,0.579092,5.768024,1027.13
4200,0.551786,5.765169,1052.29
4300,0.523419,5.894422,1077.42
4400,0.513370,5.923571,1101.74
4500,0.478371,5.891595,1126.41
4600,0.462200,6.004346,1151.49
4700,0.430515,5.993852,1176.91
4800,0.423273,6.003680,1201.13
4900,0.397100,6.137833,1227.01
4999,0.383690,6.177808,1252.23
