step,train_loss,val_loss,elapsed_sec
0,6.292318,6.286973,2.47
100,3.962068,4.056847,23.46
200,3.726569,3.838077,44.13
300,3.616783,3.738105,64.78
400,3.448067,3.579751,85.46
500,3.107701,3.295685,106.15
600,2.890257,3.096734,127.53
700,2.766441,2.989085,148.66
800,2.658701,2.891970,169.69
900,2.595842,2.859154,190.56
1000,2.541410,2.813228,211.48
1100,2.479075,2.789640,232.84
1200,2.434415,2.757200,253.71
1300,2.381146,2.723176,274.57
1400,2.333438,2.715027,295.44
1500,2.294631,2.694471,315.90
1600,2.274273,2.686544,337.36
1700,2.233091,2.680361,358.55
1800,2.203198,2.665837,379.38
1900,2.181466,2.659891,400.44
2000,2.145020,2.652498,421.68
2100,2.109763,2.658037,442.69
2200,2.090912,2.646345,463.60
2300,2.065715,2.636766,484.61
2400,2.040644,2.643606,505.27
2500,2.014624,2.640007,525.87
2600,1.993832,2.651107,547.38
2700,1.962132,2.620239,568.46
2800,1.938666,2.636732,589.34
2900,1.918170,2.651846,610.21
3000,1.886704,2.636388,630.83
3100,1.876602,2.644675,652.20
3200,1.855387,2.647722,673.28
3300,1.830828,2.660424,693.94
3400,1.804001,2.666628,714.84
3500,1.785213,2.669545,735.60
3600,1.751886,2.661177,757.01
3700,1.738650,2.677209,778.16
3800,1.710797,2.673161,799.07
3900,1.705826,2.672350,819.91
4000,1.685578,2.693946,840.63
4100,1.662703,2.676307,861.91
4200,1.641197,2.714637,882.84
4300,1.612540,2.705291,904.00
4400,1.600669,2.702313,924.98
4500,1.571334,2.712932,945.51
4600,1.565824,2.744301,966.32
4700,1.542290,2.715198,987.32
4800,1.518695,2.720902,1008.07
4900,1.514773,2.760635,1028.68
4999,1.491304,2.747775,1048.64
