step,train_loss,val_loss,elapsed_sec
0,4.731750,4.733271,1.10
100,2.365921,2.394710,10.49
200,2.340233,2.344675,19.92
300,2.316772,2.334395,29.43
400,2.313065,2.322039,38.89
500,2.302858,2.317278,48.35
600,2.302494,2.316239,57.46
700,2.295272,2.308615,66.41
800,2.285078,2.298154,75.56
900,2.269579,2.272774,84.87
1000,2.065334,2.080588,94.28
1100,1.882858,1.907538,103.78
1200,1.808767,1.850622,113.32
1300,1.717139,1.751277,122.32
1400,1.636166,1.683662,131.44
1500,1.601067,1.643570,140.54
1600,1.549287,1.610098,149.81
1700,1.514460,1.573802,159.16
1800,1.466203,1.538112,168.82
1900,1.441701,1.498700,178.36
2000,1.413431,1.478680,187.50
2100,1.410169,1.466187,196.54
2200,1.380527,1.453202,206.04
2300,1.375703,1.453200,215.35
2400,1.364200,1.425122,224.79
2500,1.345618,1.416572,234.27
2600,1.341078,1.412796,243.82
2700,1.324058,1.399675,253.44
2800,1.320666,1.401740,262.69
2900,1.332390,1.380151,271.71
3000,1.302771,1.384446,280.79
3100,1.297896,1.373654,290.00
3200,1.289569,1.362696,299.36
3300,1.277293,1.371905,308.79
3400,1.291555,1.379282,318.29
3500,1.277707,1.349575,327.47
3600,1.269553,1.353421,336.47
3700,1.269363,1.351959,345.62
3800,1.266225,1.346836,354.95
3900,1.249033,1.347280,364.38
4000,1.246900,1.324671,373.91
4100,1.244416,1.330812,383.54
4200,1.239143,1.332159,393.08
4300,1.249345,1.339029,402.14
4400,1.252476,1.314481,411.17
4500,1.235111,1.319059,420.32
4600,1.241977,1.314026,429.65
4700,1.221936,1.315307,439.06
4800,1.237774,1.313270,448.57
4900,1.222596,1.319858,458.17
4999,1.223337,1.317552,467.22
